,id,file_name,time_series_frequency,location_type,dt,lat,lon,parameter1_name,parameter1_value,parameter2_name,parameter2_value,parameter3_name,parameter3_value,parameter4_name,parameter4_value
0,1,"era5_normal_-23,5_-46,75",monthly,point,1,-23.5,-46.75,prp,229.48,tmed,22.72,tmax,31.61,tmin,16.11
1,2,"era5_normal_-23,5_-46,75",monthly,point,2,-23.5,-46.75,prp,171.7,tmed,22.98,tmax,31.58,tmin,16.61
2,3,"era5_normal_-23,5_-46,75",monthly,point,3,-23.5,-46.75,prp,146.74,tmed,22.14,tmax,31.06,tmin,15.61
3,4,"era5_normal_-23,5_-46,75",monthly,point,4,-23.5,-46.75,prp,66.11,tmed,20.75,tmax,29.66,tmin,12.93
4,5,"era5_normal_-23,5_-46,75",monthly,point,5,-23.5,-46.75,prp,63.61,tmed,18.05,tmax,27.73,tmin,10.07
5,6,"era5_normal_-23,5_-46,75",monthly,point,6,-23.5,-46.75,prp,48.48,tmed,17.15,tmax,26.56,tmin,8.4
6,7,"era5_normal_-23,5_-46,75",monthly,point,7,-23.5,-46.75,prp,52.9,tmed,16.75,tmax,27.3,tmin,7.72
7,8,"era5_normal_-23,5_-46,75",monthly,point,8,-23.5,-46.75,prp,39.96,tmed,17.72,tmax,29.86,tmin,8.39
8,9,"era5_normal_-23,5_-46,75",monthly,point,9,-23.5,-46.75,prp,89.34,tmed,19.05,tmax,32.03,tmin,10.27
9,10,"era5_normal_-23,5_-46,75",monthly,point,10,-23.5,-46.75,prp,116.26,tmed,20.42,tmax,32.45,tmin,12.05
10,11,"era5_normal_-23,5_-46,75",monthly,point,11,-23.5,-46.75,prp,152.33,tmed,20.84,tmax,31.29,tmin,13.07
11,12,"era5_normal_-23,5_-46,75",monthly,point,12,-23.5,-46.75,prp,177.8,tmed,22.2,tmax,31.4,tmin,14.84
